Species_Code;Species_Name;French_Name;Order;Family;Category;Species_Code_SAMM;SS_Group_OWFSOMM;Group_OWFSOMM;Color
BATPET;Petit bateau non identifie;Petit bateau non identifie;Bateau;NA;ANTROPIQUE;MOTOBO;Non-animal;Non-animal;#000000
BATSPP;Bateau non identifie;Bateau non identifie;Bateau;NA;ANTROPIQUE;BATSPP;Non-animal;Non-animal;#000000
BATGRA;Gros bateau non identifie;Gros bateau non identifie;Bateau;NA;ANTROPIQUE;BOAT;Non-animal;Non-animal;#000000
BATCAR;Cargo;Cargo;Bateau;NA;ANTROPIQUE;BATCAR;Non-animal;Non-animal;#000000
BATFER;Ferry;Ferry;Bateau;NA;ANTROPIQUE;FERRYB;Non-animal;Non-animal;#000000
BATADM;Bateau de l Etat;Bateau de l Etat;Bateau;NA;ANTROPIQUE;ADMIBO;Non-animal;Non-animal;#000000
TANKER;Tanker;Tanker;Bateau;NA;ANTROPIQUE;TANKER;Non-animal;Non-animal;#000000
BATCOM;Bateau de commerce;Bateau de commerce;Bateau;NA;ANTROPIQUE;CARGOB;Non-animal;Non-animal;#000000
BOUCAS;Bouee de casier;Bouee de casier;Objet;NA;ANTROPIQUE;BOUCAS;Non-animal;Non-animal;#000000
BOUCHA;Bouee ou chaine de bouees;Bouee ou chaine de bouees;Objet;NA;ANTROPIQUE;BOUCHA;Non-animal;Non-animal;#000000
PECHDRAP;Drapeau marquant un filet de peche;Drapeau marquant un filet de peche;Objet;NA;ANTROPIQUE;PECHDRAP;Non-animal;Non-animal;#000000
BOUMES;Bouee de mesure;Bouee de mesure;Objet;NA;ANTROPIQUE;BOUMES;Non-animal;Non-animal;#000000
BOUPEC;Bouee de peche;Bouee de peche;Objet;NA;ANTROPIQUE;BUOY;Non-animal;Non-animal;#000000
DECPEC;Dechet peche;Dechet peche;Dechet;NA;ANTROPIQUE;FISHTR;Non-animal;Non-animal;#000000
MACDEC;Macro dechets;Macro dechets;Dechet;NA;ANTROPIQUE;TRASH;Non-animal;Non-animal;#000000
WOODTR;Dechets bois;Dechets bois;Dechet;NA;ANTROPIQUE;WOODTR;Non-animal;Non-animal;#000000
PLASTR;Dechets plastique;Dechets plastique;Dechet;NA;ANTROPIQUE;PLASTR;Non-animal;Non-animal;#000000
ALGUE;Algue;Algue;Algue;NA;NA;ALGUE;Non-animal;Non-animal;#000000
AVIONS;Avion;Avion;Avion;NA;ANTROPIQUE;AVIONS;Non-animal;Non-animal;#000000
INCONNU;Inconnu;Inconnu;NA;NA;NA;INCONNU;Unknown;Non-animal;#000000
